MAPID,VERSN,RELS,POSNO,PATH,DTYPE,GROUP,SEGM,DSTR,DELEM,ITEMID,LEVEL,DESCR,COUNT,MINOC,MAXOC,ESTAT,ETYPE,ELEN,CSTAT,CTYPE,CLEN,NOTES
nsm862,4010,1.5,000,/,GRP,/,,,,/,0,,,,1,,,,,,,
nsm862,4010,1.5,000,/,SGM,/,ISA,,,ISA,,Interchange Control Header,,,1,M,,,R,,,To start and identify an interchange of zero or more functional groups and interchange-related control segments
nsm862,4010,1.5,000.01,/ISA/,FLD,/,ISA,01,I01,ISA-01-I01,,Authorization Information Qualifier,,,,M,ID,2/2,R,,,Code to identify the type of information in the Authorization Information All valid standard codes are used. (Total Codes: 7)
nsm862,4010,1.5,000.02,/ISA/,FLD,/,ISA,02,I02,ISA-02-I02,,Authorization Information,,,,M,AN,10/10,R,,,Information used for additional identification or authorization of the interchange sender or the data in the interchange; the type of information is set by the Authorization Information Qualifier (I01)
nsm862,4010,1.5,000.03,/ISA/,FLD,/,ISA,03,I03,ISA-03-I03,,Security Information Qualifier,,,,M,ID,2/2,R,,,Code to identify the type of information in the Security Information All valid standard codes are used. (Total Codes: 2)
nsm862,4010,1.5,000.04,/ISA/,FLD,/,ISA,04,I04,ISA-04-I04,,Security Information,,,,M,AN,10/10,R,,,This is used for identifying the security information about the interchange sender or the data in the interchange; the type of information is set by the Security Information Qualifier (I03)
nsm862,4010,1.5,000.05,/ISA/,FLD,/,ISA,05,I05,ISA-05-I05,,Interchange ID Qualifier,,,,M,ID,2/2,R,,,Qualifier to designate the system/method of code structure used to designate the sender or receiver ID element being qualified All valid standard codes are used. (Total Codes: 38)
nsm862,4010,1.5,000.06,/ISA/,FLD,/,ISA,06,I06,ISA-06-I06,,Interchange Sender ID,,,,M,AN,15/15,R,,,Identification code published by the sender for other parties to use as the receiver ID to route data to them; the sender always codes this value in the sender ID element
nsm862,4010,1.5,000.07,/ISA/,FLD,/,ISA,07,I05,ISA-07-I05,,Interchange ID Qualifier,,,,M,ID,2/2,R,,,Qualifier to designate the system/method of code structure used to designate the sender or receiver ID element being qualified All valid standard codes are used. (Total Codes: 38)
nsm862,4010,1.5,000.08,/ISA/,FLD,/,ISA,08,I07,ISA-08-I07,,Interchange Receiver ID,,,,M,AN,15/15,R,,,"Identification code published by the receiver of the data; When sending, it is used by the sender as their sending ID, thus other parties sending to them will use this as a receiving ID to route data to them"
nsm862,4010,1.5,000.09,/ISA/,FLD,/,ISA,09,I08,ISA-09-I08,,Interchange Date,,,,M,DT,6/6,R,,,Date of the interchange
nsm862,4010,1.5,000.10,/ISA/,FLD,/,ISA,10,I09,ISA-10-I09,,Interchange Time,,,,M,TM,4/4,R,,,Time of the interchange
nsm862,4010,1.5,000.11,/ISA/,FLD,/,ISA,11,I10,ISA-11-I10,,Interchange Control Standards Identifier,,,,M,ID,1/1,R,,,Code to identify the agency responsible for the control standard used by the message that is enclosed by the interchange header and trailer All valid standard codes are used. (Total Codes: 1)
nsm862,4010,1.5,000.12,/ISA/,FLD,/,ISA,12,I11,ISA-12-I11,,Interchange Control Version Number,,,,M,ID,5/5,R,,,Code specifying the version number of the interchange control segments All valid standard codes are used. (Total Codes: 14)
nsm862,4010,1.5,000.13,/ISA/,FLD,/,ISA,13,I12,ISA-13-I12,,Interchange Control Number,,,,M,N0,9/9,R,,,A control number assigned by the interchange sender
nsm862,4010,1.5,000.14,/ISA/,FLD,/,ISA,14,I13,ISA-14-I13,,Acknowledgment Requested,,,,M,ID,1/1,R,,,Code sent by the sender to request an interchange acknowledgment (TA1) All valid standard codes are used. (Total Codes: 2)
nsm862,4010,1.5,000.15,/ISA/,FLD,/,ISA,15,I14,ISA-15-I14,,Usage Indicator,,,,M,ID,1/1,R,,,"Code to indicate whether data enclosed by this interchange envelope is test, production or information All valid standard codes are used. (Total Codes: 3)"
